//X Y Z R G B Intensity
12.47500038 -9.28800011 -0.25549999 102 99 108 371
12.47274971 -9.30150032 -0.26774999 106 104 107 485
12.47200012 -9.30074978 -0.26574999 96 91 98 682
12.47274971 -9.30249977 -0.27325001 119 117 118 389
12.47274971 -9.30249977 -0.26925001 106 104 107 553
12.46975040 -9.30025005 -0.26025000 96 91 98 2271
12.46749973 -9.29850006 -0.25825000 86 79 97 1246
12.46574974 -9.29724979 -0.25299999 104 96 117 585
12.47274971 -9.30399990 -0.27474999 119 117 118 550
12.47025013 -9.30200005 -0.26475000 96 91 98 1071
12.46749973 -9.30000019 -0.25650001 86 79 97 853
12.46549988 -9.29850006 -0.25450000 86 79 97 721
12.46749973 -9.30099964 -0.26025000 96 91 98 928
12.47424984 -9.30749989 -0.27875000 99 96 103 721
12.47350025 -9.30700016 -0.27675000 99 96 103 721
12.47074986 -9.30475044 -0.26875001 98 92 102 903
12.46850014 -9.30325031 -0.26650000 98 92 102 810
12.46500015 -9.30049992 -0.25549999 85 77 100 885
12.46350002 -9.29949951 -0.25150001 85 76 103 746
12.47525024 -9.30949974 -0.28349999 106 105 110 560
12.47475052 -9.30924988 -0.28150001 106 105 110 682
12.47150040 -9.30675030 -0.27325001 99 96 103 839
12.46624947 -9.30274963 -0.26124999 84 78 92 903
12.46249962 -9.30000019 -0.25099999 85 76 103 792
12.46000004 -9.29800034 -0.24100000 89 81 105 403
12.46500015 -9.30299950 -0.25950000 85 77 100 767
12.46199989 -9.30074978 -0.24650000 89 81 105 789
12.46074963 -9.29975033 -0.24349999 89 81 105 692
12.46949959 -9.30774975 -0.27024999 98 92 102 728
12.46825027 -9.30675030 -0.26625001 84 78 92 775
12.46724987 -9.30599976 -0.26525000 84 78 92 842
12.46249962 -9.30249977 -0.25299999 85 76 103 757
12.45825005 -9.29924965 -0.24200000 89 81 105 650
12.47224998 -9.31099987 -0.28275001 106 105 110 792
12.47125053 -9.31025028 -0.27974999 106 105 110 767
12.46574974 -9.30624962 -0.26249999 84 78 92 792
12.46549988 -9.30599976 -0.26150000 84 78 92 807
12.46424961 -9.30500031 -0.25950000 85 77 100 846
12.46274948 -9.30399990 -0.25549999 85 77 100 789
12.46175003 -9.30325031 -0.24950001 85 76 103 814
12.46074963 -9.30249977 -0.24750000 85 76 103 814
12.45650005 -9.29924965 -0.23649999 91 86 106 553
12.47375011 -9.31324959 -0.28725001 122 123 125 685
12.47000027 -9.31050014 -0.27724999 99 96 103 789
12.46525002 -9.30700016 -0.26199999 84 78 92 807
12.46424961 -9.30624962 -0.25900000 85 77 100 782
12.46199989 -9.30449963 -0.25600001 85 77 100 764
12.45975018 -9.30274963 -0.24800000 85 76 103 857
12.45499992 -9.29924965 -0.23475000 91 86 106 635
12.47475052 -9.31525040 -0.29075000 122 123 125 550
12.47175026 -9.31299973 -0.28275001 106 105 110 807
12.46700001 -9.30949974 -0.26750001 98 92 102 792
12.46100044 -9.30500031 -0.25450000 85 77 100 746
12.45874977 -9.30350018 -0.24450000 89 81 105 817
12.45724964 -9.30224991 -0.24150001 89 81 105 778
12.45625019 -9.30150032 -0.23950000 91 86 106 789
12.45574951 -9.30125046 -0.23549999 91 86 106 714
12.47099972 -9.31375027 -0.28224999 104 103 111 746
12.46724987 -9.31075001 -0.27325001 86 80 92 753
12.46675014 -9.31050014 -0.26824999 92 84 99 760
12.46125031 -9.30650043 -0.25700000 89 80 107 789
12.45899963 -9.30475044 -0.24600001 97 88 115 807
12.45625019 -9.30274963 -0.23999999 96 88 112 789
12.45300007 -9.30025005 -0.23199999 89 84 104 596
12.47249985 -9.31599998 -0.28975001 141 142 147 789
12.47325039 -9.31674957 -0.28874999 141 142 147 810
12.47200012 -9.31575012 -0.28775001 141 142 147 800
12.46975040 -9.31400013 -0.27875000 86 80 92 782
12.46724987 -9.31225014 -0.27474999 86 80 92 814
12.46574974 -9.31099987 -0.27149999 92 84 99 760
12.46374989 -9.30949974 -0.26550001 89 80 99 742
12.46175003 -9.30799961 -0.25650001 89 80 107 789
12.45975018 -9.30650043 -0.25450000 89 80 107 792
12.45600033 -9.30375004 -0.24250001 97 88 115 857
12.45324993 -9.30150032 -0.23125000 89 84 104 632
12.45224953 -9.30074978 -0.22925000 89 84 104 457
12.47399998 -9.31849957 -0.29425001 134 138 141 899
12.47200012 -9.31700039 -0.28725001 141 142 147 767
12.46450043 -9.31149960 -0.26625001 89 80 99 789
12.46224976 -9.30974960 -0.25900000 89 80 107 825
12.45775032 -9.30650043 -0.24900000 89 80 109 910
12.45625019 -9.30525017 -0.24400000 97 88 115 828
12.45425034 -9.30375004 -0.23899999 96 88 112 832
12.45475006 -9.30399990 -0.23700000 96 88 112 910
12.45174980 -9.30200005 -0.23275000 89 84 104 828
12.45100021 -9.30125046 -0.23000000 89 84 104 735
12.47399998 -9.31974983 -0.29775000 134 138 141 1057
12.47399998 -9.31974983 -0.29574999 134 138 141 1135
12.47299957 -9.31900024 -0.29374999 134 138 141 1050
12.47299957 -9.31900024 -0.29075000 141 142 147 921
12.47000027 -9.31674957 -0.28275001 104 103 111 703
12.46500015 -9.31299973 -0.26949999 92 84 99 807
