//U V R G B Intensity
-0.00148434 0.06972390 88 87 92 2689
-0.00156384 0.06961728 88 87 92 1892
0.00451790 0.06875952 88 87 92 639
0.00461901 0.06771401 111 111 111 542
0.00223018 0.06767724 88 87 92 1978
-0.00520867 0.06776179 83 81 94 514
-0.00268733 0.06571082 88 87 92 1067
-0.00326578 0.06481462 77 77 87 1325
-0.00554838 0.06488718 66 65 83 514
0.00470818 0.06373213 100 101 106 475
-0.00418158 0.06377119 66 65 83 492
0.00335106 0.06275900 77 77 87 1003
-0.00087698 0.06275201 77 77 87 1750
0.00414201 0.06167415 77 77 87 635
0.00223998 0.06178892 77 77 87 1232
-0.00180245 0.06179825 77 77 87 1414
0.00341608 0.05970176 77 77 87 682
-0.00201487 0.05978018 77 77 87 1603
-0.00200977 0.05883564 77 77 87 1375
0.00030177 0.05769299 77 77 87 1664
-0.00146731 0.05771982 77 77 87 982
0.00050185 0.05677435 68 71 86 1203
-0.00792750 0.05676301 72 70 94 600
-0.00878551 0.05677875 72 70 94 539
0.00525524 0.05557351 80 84 95 1010
-0.00084812 0.05568392 68 71 86 1089
-0.00756138 0.05574080 72 70 94 907
0.01171081 0.05467568 80 84 95 878
0.00996800 0.05470481 80 84 95 896
0.00953433 0.05465787 80 84 95 932
0.00023675 0.05475195 68 71 86 1114
-0.00051554 0.05477698 68 71 86 1128
-0.00310647 0.05483156 68 71 86 1171
-0.00583051 0.05477473 72 70 94 1210
-0.00703342 0.05486015 72 70 94 1142
-0.01012092 0.05485313 72 70 94 1021
0.01217376 0.05365316 80 84 95 982
0.01073214 0.05371759 80 84 95 971
0.00950291 0.05370071 80 84 95 1039
0.00896304 0.05364442 80 84 95 1021
0.00504333 0.05375541 80 84 95 1164
0.00177948 0.05374201 68 71 86 1153
-0.00021181 0.05374018 68 71 86 1117
-0.00189163 0.05378361 68 71 86 1125
-0.00441305 0.05383547 72 70 94 1267
-0.00502306 0.05378220 72 70 94 1232
0.01772488 0.05244915 94 94 106 1153
0.01240014 0.05253691 80 84 95 975
0.01202883 0.05250456 80 84 95 1007
0.00871200 0.05258619 80 84 95 1060
0.00468658 0.05268789 80 84 95 1060
0.00484581 0.05260219 68 71 86 1046
0.00267869 0.05259402 68 71 86 1096
0.00157219 0.05267879 68 71 86 1085
-0.00163856 0.05267006 68 71 86 1085
-0.00316937 0.05271754 68 71 86 1085
-0.00354065 0.05268519 68 71 86 1153
-0.00584028 0.05276537 72 70 94 1125
-0.00883861 0.05277530 72 70 94 1192
0.01597749 0.05162346 94 94 106 1003
0.01292557 0.05172861 94 94 106 982
0.01267748 0.05169804 80 84 95 1032
0.00877743 0.05172864 80 84 95 1060
0.00748532 0.05179711 80 84 95 1039
0.00753834 0.05170212 80 84 95 1089
0.00559301 0.05182221 80 84 95 1050
0.00213369 0.05178280 68 71 86 1096
-0.00062633 0.05181340 68 71 86 1028
-0.00542058 0.05184780 72 70 94 1089
-0.00802188 0.05189263 72 70 94 1057
-0.01015240 0.05189680 72 70 94 1250
0.01197573 0.05060049 80 84 95 992
0.00295355 0.05072754 68 71 86 992
-0.00212575 0.05081864 68 71 86 1078
-0.00348748 0.05079011 68 71 86 1078
-0.00461058 0.05078284 72 70 94 1046
-0.00736132 0.05082337 72 70 94 1010
-0.01156254 0.05091872 72 70 94 1060
-0.01188074 0.05089104 72 70 94 1182
-0.01475685 0.05090260 80 77 104 1278
0.02246183 0.04955613 107 103 117 942
0.02174561 0.04959345 107 103 117 914
0.01688858 0.04961293 94 94 106 1046
0.01445647 0.04968147 94 94 106 982
0.01259765 0.04969129 94 94 106 982
0.00874083 0.04971693 80 84 95 1000
0.00780344 0.04972569 80 84 95 1021
0.00515889 0.04977554 80 84 95 1028
0.00370789 0.04973035 68 71 86 1017
0.00172638 0.04983848 68 71 86 1032
-0.00113943 0.04986006 68 71 86 1078
-0.00491677 0.04989234 72 70 94 1085
-0.00684525 0.04980551 72 70 94 1096
-0.01061282 0.04994775 72 70 94 1089
0.01820230 0.04849227 81 83 98 992
0.01662819 0.04854506 81 83 98 1021
0.01520349 0.04850216 81 83 98 1017
0.01316937 0.04850569 66 72 86 921
0.01063112 0.04856460 66 72 86 892
0.01060422 0.04856253 66 72 86 935
