//X Y Z R G B Intensity
12.47125053 -9.27925014 -0.26324999 95 98 89 696.000000
12.47500038 -9.28199959 -0.26225001 97 100 91 885.000000
12.46899986 -9.27750015 -0.26124999 97 100 91 1175.000000
12.47500038 -9.28199959 -0.26025000 97 100 91 1067.000000
12.47749996 -9.28375053 -0.25924999 97 100 91 771.000000
12.45899963 -9.27000046 -0.25799999 97 100 91 432.000000
12.46800041 -9.27799988 -0.27050000 98 104 94 1553.000000
12.46800041 -9.27799988 -0.26949999 95 98 89 1692.000000
12.46274948 -9.27425003 -0.26824999 95 98 89 1792.000000
12.46475029 -9.27575016 -0.26750001 95 98 89 1732.000000
12.46525002 -9.27600002 -0.26650000 95 98 89 1621.000000
12.46875000 -9.27849960 -0.26550001 95 98 89 1553.000000
12.46525002 -9.27600002 -0.26449999 95 98 89 1478.000000
12.47074986 -9.27999973 -0.26350001 95 98 89 1617.000000
12.47299957 -9.28174973 -0.26249999 97 100 91 1917.000000
12.47025013 -9.27974987 -0.26150000 97 100 91 2600.000000
12.47424984 -9.28275013 -0.26050001 97 100 91 2935.000000
12.47674942 -9.28450012 -0.25975001 97 100 91 2350.000000
12.47200012 -9.28100014 -0.25850001 97 100 91 1389.000000
12.46949959 -9.27925014 -0.25749999 97 100 91 778.000000
12.48200035 -9.28849983 -0.25674999 101 106 100 425.000000
12.46924973 -9.28024960 -0.27300000 98 104 94 1860.000000
12.47324944 -9.28324986 -0.27225000 98 104 94 3560.000000
12.47224998 -9.28250027 -0.27125001 98 104 94 4503.000000
12.47099972 -9.28149986 -0.27024999 98 104 94 4710.000000
12.46749973 -9.27900028 -0.26899999 95 98 89 4832.000000
12.46949959 -9.28024960 -0.26824999 95 98 89 4478.000000
12.47000027 -9.28075027 -0.26725000 95 98 89 4125.000000
12.46949959 -9.28050041 -0.26625001 95 98 89 4000.000000
12.46825027 -9.27950001 -0.26499999 95 98 89 3989.000000
12.46899986 -9.27999973 -0.26425001 95 98 89 3842.000000
12.47049999 -9.28125000 -0.26324999 95 98 89 4350.000000
12.46949959 -9.28024960 -0.26225001 97 100 91 5475.000000
12.47249985 -9.28275013 -0.26124999 97 100 91 6010.000000
12.47175026 -9.28199959 -0.26025000 97 100 91 4935.000000
12.46924973 -9.28024960 -0.25924999 97 100 91 3032.000000
12.46475029 -9.27674961 -0.25799999 97 100 91 1746.000000
12.46574974 -9.27750015 -0.25700000 97 100 91 853.000000
