//X Y Z R G B Intensity
-15.61225033 16.12324905 -0.22950000 143 172 186 1103.000000
-15.61999989 16.13100052 -0.22849999 143 172 186 1839.000000
-15.61800003 16.12899971 -0.22750001 143 172 186 2482.000000
-15.61975002 16.13100052 -0.22650000 143 172 186 3171.000000
-15.62075043 16.13199997 -0.22575000 143 172 186 3703.000000
-15.62174988 16.13299942 -0.22475000 116 143 164 3846.000000
-15.61874962 16.12999916 -0.22350000 116 143 164 3971.000000
-15.61499977 16.12599945 -0.22250000 116 143 164 4039.000000
-15.62325001 16.13450050 -0.22175001 116 143 164 4042.000000
-15.62125015 16.13249969 -0.22075000 116 143 164 3642.000000
-15.62150002 16.13274956 -0.21975000 116 143 164 3367.000000
-15.61999989 16.13100052 -0.21875000 116 143 164 2892.000000
-15.62125015 16.13249969 -0.21775000 116 143 164 2407.000000
-15.62150002 16.13274956 -0.21675000 116 143 164 1653.000000
-15.61250019 16.12324905 -0.21550000 109 133 159 1139.000000
-15.62125015 16.13224983 -0.21475001 109 133 159 767.000000
-15.62425041 16.13549995 -0.21375000 109 133 159 607.000000
-15.62950039 16.14100075 -0.21275000 109 133 159 464.000000
-15.62724972 16.13850021 -0.19775000 117 138 169 746.000000
-15.62699986 16.13825035 -0.19675000 104 122 160 1335.000000
-15.62374973 16.13500023 -0.19575000 104 122 160 1753.000000
-15.62874985 16.13999939 -0.19475000 104 122 160 1807.000000
-15.61999989 16.13100052 -0.19374999 104 122 160 1353.000000
-15.62425041 16.13525009 -0.19275001 104 122 160 903.000000
-15.61824989 16.12949944 -0.19175000 104 122 160 489.000000
-15.61849976 16.13100052 -0.23100001 143 172 186 1110.000000
-15.61975002 16.13224983 -0.23000000 143 172 186 1625.000000
-15.61999989 16.13249969 -0.22900000 143 172 186 2346.000000
-15.61925030 16.13150024 -0.22800000 143 172 186 2975.000000
-15.62125015 16.13349915 -0.22700000 143 172 186 3500.000000
-15.61975002 16.13199997 -0.22600000 143 172 186 3642.000000
-15.61775017 16.13024902 -0.22499999 116 143 164 3925.000000
-15.61649990 16.12899971 -0.22400001 116 143 164 4153.000000
-15.62100029 16.13349915 -0.22300000 116 143 164 4082.000000
-15.61775017 16.12999916 -0.22200000 116 143 164 3757.000000
-15.61600018 16.12825012 -0.22100000 116 143 164 3257.000000
-15.61849976 16.13100052 -0.22000000 116 143 164 2610.000000
-15.62049961 16.13299942 -0.21900000 116 143 164 1960.000000
-15.62100029 16.13349915 -0.21799999 116 143 164 1414.000000
-15.60400009 16.11599922 -0.21675000 116 143 164 996.000000
-15.62800026 16.14075089 -0.21625000 109 133 159 707.000000
-15.62024975 16.13274956 -0.21500000 109 133 159 532.000000
-15.62800026 16.14075089 -0.19724999 104 122 160 842.000000
-15.62249947 16.13500023 -0.19625001 104 122 160 1525.000000
-15.62249947 16.13500023 -0.19499999 104 122 160 2071.000000
-15.62249947 16.13525009 -0.19400001 104 122 160 2103.000000
-15.62024975 16.13274956 -0.19300000 104 122 160 1503.000000
-15.62950039 16.14225006 -0.19225000 104 122 160 1039.000000
-15.62975025 16.14249992 -0.19125000 104 122 160 600.000000
-15.61425018 16.12800026 -0.23250000 143 172 186 1057.000000
-15.61925030 16.13299942 -0.23175000 143 172 186 1639.000000
-15.61474991 16.12825012 -0.23050000 143 172 186 2353.000000
-15.61775017 16.13150024 -0.22950000 143 172 186 3050.000000
-15.61800003 16.13175011 -0.22849999 143 172 186 3378.000000
-15.62024975 16.13400078 -0.22775000 143 172 186 3892.000000
-15.61975002 16.13349915 -0.22650000 143 172 186 3982.000000
-15.61849976 16.13199997 -0.22550000 143 172 186 4075.000000
-15.61899948 16.13274956 -0.22450000 116 143 164 4028.000000
-15.61725044 16.13100052 -0.22350000 116 143 164 3703.000000
-15.61400032 16.12750053 -0.22250000 116 143 164 2985.000000
-15.61750031 16.13125038 -0.22149999 116 143 164 2325.000000
-15.62024975 16.13400078 -0.22075000 116 143 164 1753.000000
-15.61275005 16.12624931 -0.21950001 116 143 164 1110.000000
-15.61899948 16.13274956 -0.21875000 116 143 164 860.000000
-15.62600040 16.13999939 -0.21775000 116 143 164 607.000000
-15.61549950 16.12899971 -0.21675000 116 143 164 564.000000
-15.63424969 16.14850044 -0.19800000 117 138 169 685.000000
-15.62075043 16.13450050 -0.19675000 104 122 160 1192.000000
-15.62325001 16.13699913 -0.19575000 104 122 160 1753.000000
-15.62224960 16.13599968 -0.19475000 104 122 160 1889.000000
-15.62475014 16.13875008 -0.19374999 104 122 160 1753.000000
-15.62849998 16.14249992 -0.19275001 104 122 160 1078.000000
-15.61499977 16.12849998 -0.19149999 104 122 160 653.000000
-15.61100006 16.12450027 -0.19050001 104 122 160 525.000000
-15.62275028 16.13800049 -0.23325001 143 172 186 1542.000000
-15.61625004 16.13150024 -0.23199999 143 172 186 2196.000000
-15.61800003 16.13324928 -0.23100001 143 172 186 2825.000000
-15.61549950 16.13075066 -0.23000000 143 172 186 3242.000000
-15.61750031 16.13249969 -0.22900000 143 172 186 3485.000000
-15.61674976 16.13199997 -0.22800000 143 172 186 3717.000000
-15.61725044 16.13249969 -0.22700000 143 172 186 4182.000000
-15.61575031 16.13100052 -0.22600000 143 172 186 4032.000000
-15.61524963 16.13024902 -0.22499999 116 143 164 3717.000000
-15.61775017 16.13274956 -0.22400001 116 143 164 3057.000000
-15.61775017 16.13299942 -0.22300000 116 143 164 2285.000000
-15.61600018 16.13125038 -0.22200000 116 143 164 1450.000000
-15.62100029 16.13624954 -0.22100000 116 143 164 1039.000000
-15.60799980 16.12299919 -0.22000000 116 143 164 721.000000
-15.63024998 16.14575005 -0.21924999 116 143 164 539.000000
-15.64500046 16.16099930 -0.19949999 117 138 169 457.000000
-15.64449978 16.16049957 -0.19850001 117 138 169 621.000000
-15.61750031 16.13274956 -0.19700000 104 122 160 928.000000
-15.62374973 16.13899994 -0.19625001 104 122 160 1153.000000
-15.61699963 16.13224983 -0.19499999 104 122 160 1282.000000
-15.62450027 16.13999939 -0.19425000 104 122 160 1132.000000
-15.62825012 16.14374924 -0.19325000 104 122 160 867.000000
-15.62825012 16.14374924 -0.19225000 104 122 160 653.000000
-15.61750031 16.13274956 -0.19100000 104 122 160 546.000000
-15.61625004 16.13274956 -0.23475000 115 142 161 1232.000000
-15.61750031 16.13400078 -0.23375000 115 142 161 2096.000000
-15.61400032 16.13024902 -0.23250000 115 142 161 2664.000000
-15.61649990 16.13299942 -0.23150000 115 142 161 3117.000000
-15.61450005 16.13100052 -0.23050000 115 142 161 3292.000000
-15.61600018 16.13249969 -0.22950000 115 142 161 3603.000000
-15.61524963 16.13175011 -0.22849999 115 142 161 3946.000000
-15.61575031 16.13224983 -0.22750001 115 142 161 4007.000000
-15.61524963 16.13175011 -0.22650000 115 142 161 3796.000000
-15.61950016 16.13599968 -0.22575000 115 142 161 3217.000000
-15.61775017 16.13425064 -0.22450000 109 133 159 2307.000000
-15.61199951 16.12825012 -0.22350000 109 133 159 1510.000000
-15.61349964 16.12974930 -0.22250000 109 133 159 996.000000
-15.61674976 16.13324928 -0.22175001 109 133 159 767.000000
-15.62975025 16.14674950 -0.20100001 104 122 158 592.000000
-15.63675022 16.15399933 -0.20000000 104 122 158 585.000000
-15.63399982 16.15100098 -0.19900000 104 122 158 667.000000
-15.61750031 16.13425064 -0.19775000 104 122 158 821.000000
-15.62325001 16.13999939 -0.19675000 93 108 151 867.000000
-15.62374973 16.14049911 -0.19575000 93 108 151 989.000000
-15.62849998 16.14525032 -0.19475000 93 108 151 950.000000
-15.61950016 16.13624954 -0.19374999 93 108 151 814.000000
-15.62574959 16.14249992 -0.19275001 93 108 151 807.000000
-15.62699986 16.14400101 -0.19175000 93 108 151 675.000000
-15.61699963 16.13349915 -0.19075000 93 108 151 564.000000
-15.61699963 16.13349915 -0.18975000 93 108 151 592.000000
-15.61250019 16.13050079 -0.23600000 120 150 160 1042.000000
-15.61750031 16.13574982 -0.23500000 120 150 160 1746.000000
-15.61100006 16.12874985 -0.23400000 115 142 161 2575.000000
-15.61499977 16.13299942 -0.23300000 115 142 161 3303.000000
-15.61625004 16.13425064 -0.23199999 115 142 161 3757.000000
-15.61600018 16.13400078 -0.23100001 115 142 161 3871.000000
-15.61874962 16.13699913 -0.23000000 115 142 161 3778.000000
-15.61950016 16.13750076 -0.22900000 115 142 161 3685.000000
-15.61549950 16.13349915 -0.22800000 115 142 161 3460.000000
-15.61499977 16.13299942 -0.22700000 115 142 161 2953.000000
-15.61375046 16.13175011 -0.22600000 115 142 161 2346.000000
-15.61250019 16.13050079 -0.22499999 109 133 159 1503.000000
-15.62425041 16.14249992 -0.22425000 109 133 159 867.000000
-15.61699963 16.13500023 -0.22300000 109 133 159 600.000000
-15.63949966 16.15825081 -0.20450000 104 122 158 517.000000
-15.64074993 16.15950012 -0.20350000 104 122 158 525.000000
-15.63974953 16.15850067 -0.20250000 104 122 158 632.000000
-15.63875008 16.15749931 -0.20150000 104 122 158 621.000000
-15.63074970 16.14925003 -0.20025000 104 122 158 728.000000
-15.62950039 16.14800072 -0.19925000 104 122 158 760.000000
-15.62500000 16.14349937 -0.19825000 104 122 158 814.000000
-15.62024975 16.13850021 -0.19724999 93 108 151 921.000000
-15.62125015 16.13949966 -0.19625001 93 108 151 875.000000
-15.62150002 16.13949966 -0.19525000 93 108 151 921.000000
-15.63300037 16.15150070 -0.19425000 93 108 151 889.000000
-15.62374973 16.14225006 -0.19325000 93 108 151 828.000000
-15.61425018 16.13224983 -0.19200000 93 108 151 739.000000
-15.61800003 16.13599968 -0.19100000 93 108 151 821.000000
-15.61075020 16.12874985 -0.19000000 93 108 151 653.000000
-15.60900021 16.12675095 -0.18900000 93 108 151 721.000000
-15.61050034 16.12825012 -0.18799999 97 111 156 664.000000
-15.62724972 16.14550018 -0.18700001 97 111 156 639.000000
-15.61874962 16.13699913 -0.18500000 97 111 156 550.000000
-15.61225033 16.13150024 -0.23750000 120 150 160 807.000000
-15.60974979 16.12899971 -0.23649999 120 150 160 1460.000000
-15.61225033 16.13175011 -0.23549999 120 150 160 2096.000000
-15.61425018 16.13349915 -0.23450001 115 142 161 2982.000000
-15.61625004 16.13574982 -0.23350000 115 142 161 3432.000000
-15.61674976 16.13624954 -0.23250000 115 142 161 3792.000000
-15.61324978 16.13274956 -0.23150000 115 142 161 3978.000000
-15.61575031 16.13525009 -0.23050000 115 142 161 4053.000000
-15.61324978 16.13274956 -0.22950000 115 142 161 3817.000000
-15.61349964 16.13299942 -0.22849999 115 142 161 3121.000000
-15.61800003 16.13775063 -0.22750001 115 142 161 2321.000000
-15.61450005 16.13400078 -0.22650000 115 142 161 1664.000000
-15.61025047 16.12949944 -0.22550000 109 133 159 989.000000
-15.62125015 16.14075089 -0.22450000 109 133 159 653.000000
-15.62650013 16.14624977 -0.22375000 109 133 159 464.000000
-15.62699986 16.14699936 -0.20675001 104 122 158 532.000000
-15.64274979 16.16300011 -0.20600000 104 122 158 646.000000
-15.61575031 16.13525009 -0.20475000 104 122 158 632.000000
-15.63125038 16.15125084 -0.20375000 104 122 158 721.000000
-15.63475037 16.15475082 -0.20299999 104 122 158 714.000000
-15.63899994 16.15925026 -0.20200001 104 122 158 714.000000
-15.62199974 16.14175034 -0.20074999 104 122 158 782.000000
-15.62399960 16.14374924 -0.19975001 104 122 158 760.000000
-15.63125038 16.15125084 -0.19875000 104 122 158 814.000000
-15.61575031 16.13525009 -0.19750001 104 122 158 835.000000
-15.61899948 16.13850021 -0.19650000 93 108 151 842.000000
-15.63774967 16.15800095 -0.19575000 93 108 151 882.000000
-15.63450050 16.15475082 -0.19475000 93 108 151 857.000000
-15.61174965 16.13125038 -0.19350000 93 108 151 835.000000
-15.63850021 16.15875053 -0.19275001 93 108 151 835.000000
-15.60200024 16.12100029 -0.19125000 93 108 151 814.000000
-15.61849976 16.13800049 -0.19050001 93 108 151 760.000000
-15.62075043 16.14049911 -0.18950000 93 108 151 685.000000
-15.62150002 16.14125061 -0.18850000 93 108 151 800.000000
-15.61824989 16.13775063 -0.18750000 97 111 156 714.000000
-15.62125015 16.14075089 -0.18650000 97 111 156 707.000000
-15.62724972 16.14724922 -0.18574999 97 111 156 721.000000
-15.62174988 16.14150047 -0.18449999 97 111 156 678.000000
-15.61824989 16.13775063 -0.18350001 97 111 156 678.000000
-15.62125015 16.14075089 -0.18250000 97 111 156 639.000000
-15.62950039 16.14925003 -0.18175000 97 111 156 621.000000
-15.61349964 16.13425064 -0.23875000 120 150 160 853.000000
-15.61025047 16.13075066 -0.23774999 120 150 160 1489.000000
-15.61225033 16.13299942 -0.23675001 120 150 160 2332.000000
-15.61124992 16.13199997 -0.23575000 120 150 160 2871.000000
-15.61474991 16.13549995 -0.23500000 115 142 161 3385.000000
-15.61575031 16.13649940 -0.23400000 115 142 161 3800.000000
-15.61225033 16.13299942 -0.23275000 115 142 161 3964.000000
-15.61524963 16.13599968 -0.23199999 115 142 161 4182.000000
-15.61524963 16.13624954 -0.23100001 115 142 161 3846.000000
-15.61299992 16.13375092 -0.23000000 115 142 161 3157.000000
-15.61699963 16.13800049 -0.22900000 115 142 161 2285.000000
-15.61600018 16.13674927 -0.22800000 115 142 161 1496.000000
-15.60900021 16.12974930 -0.22675000 115 142 161 896.000000
-15.60550022 16.12599945 -0.22575000 115 142 161 632.000000
-15.63700008 16.15875053 -0.21025001 107 128 159 510.000000
-15.62275028 16.14374924 -0.20800000 107 128 159 646.000000
-15.63675022 16.15825081 -0.20725000 107 128 159 689.000000
-15.62524986 16.14649963 -0.20600000 104 122 158 735.000000
-15.62374973 16.14475060 -0.20500000 104 122 158 767.000000
-15.62874985 16.14999962 -0.20424999 104 122 158 803.000000
-15.64050007 16.16225052 -0.20325001 104 122 158 782.000000
-15.63825035 16.15974998 -0.20225000 104 122 158 803.000000
-15.62549973 16.14674950 -0.20125000 104 122 158 835.000000
-15.62275028 16.14374924 -0.20000000 104 122 158 821.000000
-15.63049984 16.15175056 -0.19925000 104 122 158 796.000000
-15.62524986 16.14649963 -0.19825000 104 122 158 850.000000
-15.61899948 16.13999939 -0.19700000 93 108 151 917.000000
-15.63125038 16.15250015 -0.19625001 93 108 151 842.000000
-15.62524986 16.14624977 -0.19499999 93 108 151 857.000000
-15.63274956 16.15399933 -0.19425000 93 108 151 857.000000
-15.62899971 16.15049934 -0.19325000 93 108 151 782.000000
-15.62075043 16.14175034 -0.19200000 93 108 151 800.000000
-15.61999989 16.14100075 -0.19100000 93 108 151 767.000000
-15.61425018 16.13500023 -0.19000000 93 108 151 760.000000
-15.61674976 16.13750076 -0.18900000 93 108 151 728.000000
-15.62924957 16.15049934 -0.18799999 97 111 156 782.000000
-15.62849998 16.14974976 -0.18700001 97 111 156 789.000000
-15.61674976 16.13775063 -0.18600000 97 111 156 775.000000
-15.63450050 16.15600014 -0.18500000 97 111 156 707.000000
-15.61975002 16.14049911 -0.18400000 97 111 156 721.000000
-15.62450027 16.14575005 -0.18200000 97 111 156 685.000000
-15.63024998 16.15150070 -0.18099999 97 111 156 742.000000
-15.61575031 16.13649940 -0.18000001 97 111 156 667.000000
-15.62425041 16.14550018 -0.17900001 97 111 156 639.000000
-15.61800003 16.14024925 -0.23950000 120 150 160 957.000000
-15.60875034 16.13075066 -0.23850000 120 150 160 1739.000000
-15.61199951 16.13400078 -0.23750000 120 150 160 2557.000000
-15.61299992 16.13525009 -0.23649999 120 150 160 3157.000000
-15.61025047 16.13224983 -0.23549999 120 150 160 3592.000000
-15.60875034 16.13075066 -0.23450001 115 142 161 3796.000000
-15.61524963 16.13750076 -0.23350000 115 142 161 4096.000000
-15.61124992 16.13349915 -0.23250000 115 142 161 3910.000000
-15.61349964 16.13574982 -0.23150000 115 142 161 3553.000000
-15.60949993 16.13150024 -0.23050000 115 142 161 2885.000000
-15.61699963 16.13924980 -0.22950000 115 142 161 2064.000000
-15.62450027 16.14699936 -0.22875001 115 142 161 1328.000000
-15.62475014 16.14724922 -0.22775000 115 142 161 857.000000
-15.60725021 16.12924957 -0.22650000 115 142 161 617.000000
-15.62174988 16.14400101 -0.21275000 107 128 159 457.000000
-15.61849976 16.14075089 -0.21175000 107 128 159 525.000000
-15.63974953 16.16275024 -0.21100000 107 128 159 653.000000
-15.62775040 16.15024948 -0.20975000 107 128 159 646.000000
-15.63724995 16.16024971 -0.20900001 107 128 159 735.000000
-15.62275028 16.14500046 -0.20774999 107 128 159 721.000000
-15.63000011 16.15250015 -0.20675001 104 122 158 789.000000
-15.62800026 16.15074921 -0.20575000 104 122 158 753.000000
-15.62450027 16.14699936 -0.20475000 104 122 158 728.000000
-15.62775040 16.15024948 -0.20375000 104 122 158 746.000000
-15.63525009 16.15825081 -0.20299999 104 122 158 821.000000
-15.62650013 16.14900017 -0.20175000 104 122 158 828.000000
-15.61874962 16.14100075 -0.20074999 104 122 158 760.000000
-15.62425041 16.14674950 -0.19975001 104 122 158 821.000000
-15.62349987 16.14599991 -0.19875000 104 122 158 896.000000
-15.62249947 16.14475060 -0.19775000 104 122 158 867.000000
-15.63300037 16.15575027 -0.19675000 93 108 151 828.000000
-15.62125015 16.14349937 -0.19575000 93 108 151 814.000000
-15.61275005 16.13500023 -0.19450000 93 108 151 767.000000
-15.63125038 16.15399933 -0.19374999 93 108 151 821.000000
-15.61999989 16.14249992 -0.19250000 93 108 151 767.000000
-15.63175011 16.15449905 -0.19175000 93 108 151 735.000000
-15.61375046 16.13599968 -0.19050001 93 108 151 835.000000
-15.62100029 16.14349937 -0.18950000 93 108 151 746.000000
-15.61824989 16.14049911 -0.18850000 93 108 151 828.000000
-15.62500000 16.14749908 -0.18750000 97 111 156 775.000000
-15.61849976 16.14075089 -0.18650000 97 111 156 714.000000
-15.61450005 16.13674927 -0.18550000 97 111 156 667.000000
-15.62600040 16.14850044 -0.18449999 97 111 156 721.000000
-15.62325001 16.14575005 -0.18350001 97 111 156 735.000000
-15.62500000 16.14749908 -0.18250000 97 111 156 767.000000
-15.61600018 16.13825035 -0.18150000 97 111 156 753.000000
-15.61225033 16.13425064 -0.18050000 97 111 156 700.000000
